,0
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,2
RestrictedCashAndCashEquivalents,2
ShortTermBankLoansAndNotesPayable,2
SecuredDebt,2
RegulatoryLiabilityNoncurrent,2
Land,2
CapitalLeaseObligationsNoncurrent,2
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,2
DerivativeAssetsCurrent,2
LiabilityForFuturePolicyBenefits,2
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,2
RegulatoryAssetsNoncurrent,2
NonUtilityPropertyNet,1
DevelopmentInProcess,1
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,1
AccruedContributionsToEmployeesProfitSharingPlans,1
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,1
TotalRealEstateNet,1
BuildingsAndImprovementsGross,1
PropertySubjectToOrAvailableForOperatingLeaseNet,1
NoncontrollingInterestMezzanineEquity,1
LiabilityForClaimsAndClaimsAdjustmentExpense,1
FixturesAndEquipmentGross,1
FurnitureFixturesMachineryAndEquipment,1
FundsPayableAndAmountsDueToCustomers,1
TimeDepositsNoncurrent,1
AccumulatedDistributionsInExcessOfNetIncome,1
CommercialPaper,1
CapitalizedComputerSoftwareNet,1
OilAndGasPropertySuccessfulEffortMethodGross,1
LeaseholdImprovementsGross,1
OtherBorrowings,1
EquityMethodInvestments,1
AccruedLiabilitiesForUnredeeemedGiftCards,1
NetInvestmentInDirectFinancingAndSalesTypeLeases,1
DeferredCommissionsCurrent,1
CurrentDeferredAndPayableIncomeTaxes,1
SubordinatedDebtLongTermAffiliates,1
DeferredLongTermLiabilityCharges,1
PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,1
EnergyRelatedInventoryOtherFossilFuel,1
DeferredRevenue,1
DeferredFinanceCostsNoncurrentNet,1
LandAndBuildingsGross,1
ConvertibleLongTermNotesPayable,1
BankOverdrafts,1
LongTermDebt,1
AccountsPayableTradeCurrentAndNoncurrent,1
TotalOtherAssets,1
AccruedLiabilitiesCurrentAndNoncurrent,1
RegulatoryAssetsCurrent,1
AvailableForSaleSecuritiesNoncurrent,1
PublicUtilitiesPropertyPlantAndEquipmentAccumulatedDepreciation,1
CurrentAssetsBeforeFundsHeldForCustomers,1
ConstructionPayableCurrentAndNoncurrent,1
CashEquivalentsAtCarryingValue,1
AccruedEnvironmentalLossContingenciesNoncurrent,1
BankChecksOutstanding,1
OtherShortTermBorrowings,1
OffMarketLeaseUnfavorable,1
PremiumsAndOtherReceivablesNet,1
PublicUtilitiesPropertyPlantAndEquipmentNet,1
DividendsPayableCurrentAndNoncurrent,1
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,1
DerivativeAssetsNoncurrent,1
FundsReceivableAndCustomerAccounts,1
ShortTermBorrowingsAndLongTermDebtCurrent,1
RestrictedCashAndInvestmentsCurrent,1
ObligationToReturnCashOrSecuritiesReceivedAsCollateral,1
AccumulatedOtherComprehensiveLoss,1
TotalFinancingReceivables,1
MembersEquity,1
TimeDepositMaturitiesYearOne,1
BillingsInExcessOfCost,1
LongTermDebtAndCapitalLeaseObligationsCurrent,1
AccruedAndPrepaidDrillingCosts,1
OtherLongTermInvestmentsAndMarketableSecurities,1
LongTermNotesPayable,1
NotesReceivableNet,1
LongTermRetirementBenefitsAndOtherLiabilities,1
InventoryWorkInProcess,1
CustomerAdvancesCurrent,1
RealEstateInvestmentPropertyAtCost,1
OtherLongTermDebtNoncurrent,1
PrepaidTaxes,1
LoansAndLeasesReceivableAllowance,1
DeferredCompensationLiabilityClassifiedNoncurrent,1
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,1
NetUtilityPlant,1
TravelersChequesOutstanding,1
EnergyRelatedInventoryFuelOilGasAndMaterialsAndSuppliesCost,1
DeferredTaxLiabilitiesCurrent,1
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,1
PrepaidExpenseAndOtherAssetsNoncurrent,1
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,1
AccountsPayableTradeCurrent,1
ContentLibraryNetNoncurrent,1
UnearnedPremiums,1
RetainedEarningsAppropriated,1
ProvisionForInjuriesAndDamages,1
PrepaidExpenseAndOtherAssets,1
DueToRelatedPartiesCurrent,1
FundsHeldForClients,1
ShareholdersEquityBeforeDeductionOfTreasuryStock,1
TotalDeferredChargesAndOtherAssets,1
EnergyRelatedInventoryGasStoredUnderground,1
CurrentLiabilitiesBeforeCustomerFundDeposits,1
NoncurrentDeferredAndUncertainTaxLiabilities,1
MinorityInterestInJointVentures,1
DeferredCompensationEquity,1
AccruedRebatesReturnsAndPromotions,1
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,1
DueFromUnconsolidatedJointBusiness,1
DerivativeLiabilitiesCurrent,1
OtherPolicyholderFunds,1
HeldToMaturitySecurities,1
DeferredRevenueAndCreditsCurrent,1
DeferredPolicyAcquisitionCosts,1
TotalPolicyLiabilities,1
DefinedBenefitPensionPlanLiabilitiesNoncurrent,1
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseNet,1
DeferredTaxAssetsLiabilitiesNetCurrent,1
NonCurrentDeferredAndPayableIncomeTaxes,1
CapitalLeaseObligationsCurrent,1
CashCashEquivalentsAndFederalFundsSold,1
InventoryFinishedGoods,1
DecommissioningFundInvestments,1
CashAndDueFromBanks,1
DerivativeLiabilitiesNoncurrent,1
PrepaidExpensesAndOtherAssets,1
UnearnedCompensation,1
DebtAndCapitalLeaseObligations,1
InventoryNoncurrent,1
OilAndGasPropertySuccessfulEffortMethodNet,1
DeferredCreditsAndOtherLiabilities,1
DeferredTaxLiabilitiesNoncurrentAndAccumulatedDeferredInvestmentTaxCredit,1
LoansPayableToBank,1
FiduciaryLiabilities,1
CorporateDebt,1
RegulatoryLiabilityCurrent,1
MachineryAndEquipmentLessAllowanceForDepreciation,1
IncomeTaxesReceivable,1
MinorityInterestInPreferredUnitHolders,1
DeferredIncomeTaxesAndOtherTaxLiabilities,1
MarginReceivables,1
DeferredTaxAssetsLiabilitiesNetNoncurrent,1
FinancingReceivableIndividuallyEvaluatedForImpairment,1
OilAndGasSalesPayableCurrent,1
CashFlowHedgeDerivativeInstrumentLiabilitiesAtFairValue,1
LoansAndLeasesReceivableNetReportedAmountOther,1
NotesAndLoansReceivableNetCurrent,1
LoansAndLeasesReceivableConsumer,1
OtherPrepaidExpenseCurrent,1
FinancingReceivableCollectivelyEvaluatedForImpairment,1
InterestBearingDepositsInBanks,1
OtherDeferredCreditsNoncurrent,1
CommonStockValueOutstanding,1
DeferredFinanceCostsNet,1
LandAndLandImprovements,1
CustomerPayables,1
MarginDepositAssets,1
DefiniteAndFiniteLivedIntangibles,1
CurrentDeferredAndRefundableIncomeTaxes,1
OilAndGasJointInterestBillingReceivablesCurrent,1
FiduciaryAssets,1
PublicUtilitiesPropertyPlantAndEquipmentConstructionWorkInProgress,1
CapitalLeasedAssetsGross,1
RetirementObligationsAndOtherLiabilities,1
InterestPayableCurrent,1
ContentLibraryNetCurrent,1
AccountsPayableCurrentAndNoncurrent,1
