official stmt,Field,depth
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RegulatoryLiabilityCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CommonStockValue,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LiabilitiesCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DerivativeAssetsNoncurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PreferredStockValueOutstanding,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredTaxLiabilitiesCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",ReceivablesNetCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PrepaidTaxes,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",InventoryWorkInProcess,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PrepaidExpenseCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DerivativeAssetsCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LiabilitiesNoncurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",PropertyPlantAndEquipmentNet,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RegulatoryAssetsNoncurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",InventoryRawMaterialsAndSupplies,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",StockholdersEquity,4
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OilAndGasPropertySuccessfulEffortMethodNet,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AssetsCurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",IncomeTaxesReceivable,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredTaxAssetsLiabilitiesNetNoncurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",AssetsNoncurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherAssetsCurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",OtherAssetsNoncurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",Goodwill,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",Liabilities,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DeferredTaxAssetsLiabilitiesNetCurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",MinorityInterest,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",FundsHeldForClients,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",RegulatoryAssetsCurrent,3
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",Assets,2
"104000 - Statement - Statement of Financial Position, Classified, Statement [Table]",LiabilitiesAndStockholdersEquity,2
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OilAndGasProductionExpense,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AvailableForSaleSecuritiesGrossRealizedGainLossNet,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfPurchasedOilAndGas,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherDirectCostsOfHotels,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OccupancyCosts,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfPurchasedPower,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ElectricUtilityRevenue,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ManagementFeesRevenue,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FoodAndBeverageCostOfSales,13
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TaxesExcludingIncomeAndExciseTaxes,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfDeferredSalesCommissions,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RealEstateTaxExpense,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfDeferredSalesCommissions,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TechnologyServicesCosts,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OccupancyCosts,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FoodAndBeverageCostOfSales,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherDirectCostsOfHotels,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FoodAndBeverageRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TenantReimbursements,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GoodwillImpairmentLoss,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ElectricUtilityRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherHotelOperatingRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfIntangibleAssets,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GoodwillImpairmentLoss,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfPurchasedOilAndGas,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OilAndGasProductionExpense,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OccupancyRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GasDomesticRegulatedRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfIntangibleAssets,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",MarketingAndAdvertisingExpense,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfServices,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RestructuringCharges,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FuelCosts,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OwnedPropertyManagementCosts,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RestructuringCharges,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OilAndGasRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OilAndCondensateRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RevenueFromLeasedAndOwnedHotels,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfRealEstateRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SalesRevenueGoodsNet,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ImpairmentOfIntangibleAssetsFinitelived,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ManagementFeesRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingLeasesIncomeStatementLeaseRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InventoryWriteDown,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingLeasesIncomeStatementMinimumLeaseRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfPurchasedPower,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TechnologyServicesRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NaturalGasProductionRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ImpairmentOfOilAndGasProperties,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DirectCostsOfLeasedAndRentedPropertyOrEquipment,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfGoodsSold,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetImpairmentCharges,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",HealthCareOrganizationResidentServiceRevenue,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ImpairmentOfLongLivedAssetsHeldForUse,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AvailableForSaleSecuritiesGrossRealizedGainLossNet,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",MarketingExpense,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SalesRevenueServicesNet,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetImpairmentCharges,12
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OccupancyRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TaxesExcludingIncomeAndExciseTaxes,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",BusinessCombinationAcquisitionRelatedCosts,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RestructuringCharges,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",MarketingAndAdvertisingExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForLoanAndLeaseLosses,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InvestmentIncomeInterestAndDividend,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FinancialServicesCosts,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfGoodsAndServicesSold,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfAssets,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ProvisionForLoanAndLeaseLosses,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ImpairmentOfLongLivedAssetsHeldForUse,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnDispositionOfAssets,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfRealEstateRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",HealthCareOrganizationResidentServiceRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GoodwillImpairmentLoss,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RevenueFromLeasedAndOwnedHotels,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GoodwillImpairmentLoss,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",LaborAndRelatedExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ContractRevenueCost,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetRetirementObligationAccretionExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PremiumsEarnedNet,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherSalesRevenueNet,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetRetirementObligationAccretionExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfDeferredSalesCommissions,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RevenueSteamProductsAndServices,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingLeasesIncomeStatementLeaseRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfOtherPropertyOperatingExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfDeferredSalesCommissions,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ImpairmentOfIntangibleAssetsFinitelived,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RestructuringCharges,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FoodAndBeverageRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OilAndCondensateRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OilAndGasRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",LicensesRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SalesRevenueServicesNet,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetImpairmentCharges,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AssetImpairmentCharges,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DirectCostsOfLeasedAndRentedPropertyOrEquipment,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",PolicyholderBenefitsAndClaimsIncurredNet,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ResearchAndDevelopmentExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",NaturalGasProductionRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TechnologyServicesRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OperatingLeasesIncomeStatementMinimumLeaseRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnSaleOfPropertyPlantEquipment,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SalesRevenueGoodsNet,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfGoodsSold,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GeneralAndAdministrativeExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InventoryWriteDown,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AccretionExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ImpairmentOfOilAndGasProperties,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GainLossOnInvestments,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SalesRevenueNet,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TenantReimbursements,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InvestmentIncomeInterest,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",InterestIncomeOperating,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",RealEstateTaxExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OwnedPropertyManagementCosts,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FuelCosts,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SellingAndMarketingExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfServices,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CommunicationsAndInformationTechnology,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfIntangibleAssets,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",MarketingExpense,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",GasDomesticRegulatedRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DepreciationAndAmortization,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",AmortizationOfIntangibleAssets,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",OtherHotelOperatingRevenue,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",LicenseCosts,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DepreciationAndAmortization,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",TechnologyServicesCosts,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",CostOfGoodsSoldSubscription,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,11
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",DepreciationAndAmortization,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SalesRevenueNet,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",Revenues,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",SellingGeneralAndAdministrativeExpense,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",BusinessCombinationAcquisitionRelatedCosts,10
"124000 - Statement - Statement of Income (Including Gross Margin), Statement [Table]",FinancialServicesCosts,10
