,0
IncreaseDecreaseInDeferredRevenue,8
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,7
PaymentsOfDividendsMinorityInterest,7
ProceedsFromIssuanceOfDebt,6
GainLossOnSaleOfPropertyPlantEquipment,6
PaymentsToAcquireMarketableSecurities,6
ProceedsFromSaleAndMaturityOfMarketableSecurities,6
PaymentsToAcquireIntangibleAssets,6
GainLossOnSaleOfInvestments,6
PaymentsOfDebtIssuanceCosts,6
RepaymentsOfDebt,6
AdjustmentForAmortization,5
ProceedsFromStockPlans,5
PaymentsToAcquireAvailableForSaleSecurities,5
IncreaseDecreaseInEmployeeRelatedLiabilities,5
IncreaseDecreaseInAccountsPayableTrade,5
ProceedsFromSaleOfProductiveAssets,5
GainLossOnSaleOfOtherAssets,5
IncreaseDecreaseInDeferredIncomeTaxes,5
PaymentsToMinorityShareholders,4
IncreaseDecreaseInPrepaidExpense,4
RepaymentsOfLongTermDebtAndCapitalSecurities,4
EquityMethodInvestmentDividendsOrDistributions,4
AmortizationOfFinancingCosts,4
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,4
IncomeLossFromEquityMethodInvestments,4
ProceedsFromShortTermDebt,4
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,4
PensionAndOtherPostretirementBenefitContributions,4
RepaymentsOfShortTermDebt,3
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,3
PaymentsToAcquireAvailableForSaleSecuritiesDebt,3
GainLossOnDispositionOfAssets,3
PaymentsOfOrdinaryDividends,3
ProceedsFromLinesOfCredit,3
RepaymentsOfLinesOfCredit,3
IncreaseDecreaseInOtherAccruedLiabilities,3
PaymentsOfDividendsPreferredStockAndPreferenceStock,3
ProceedsFromSaleOfAvailableForSaleSecurities,3
RepaymentsOfSecuredDebt,3
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,3
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,3
PaymentsOfFinancingCosts,3
IncreaseDecreaseInOtherCurrentAssets,3
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,3
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,3
IncreaseDecreaseInDeposits,3
DeferredIncomeTaxesAndTaxCredits,3
ProceedsFromSaleOfTreasuryStock,3
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,3
IncreaseDecreaseInAccruedTaxesPayable,3
OtherNoncashExpense,3
PaymentsForProceedsFromHedgeFinancingActivities,3
DepreciationAmortizationAndAccretionNet,3
AmortizationOfFinancingCostsAndDiscounts,3
IncomeLossFromDiscontinuedOperationsNetOfTax,3
GainsLossesOnExtinguishmentOfDebt,3
PaymentsToAcquireAdditionalInterestInSubsidiaries,3
InventoryWriteDown,3
IncreaseDecreaseInPensionAndPostretirementObligations,3
RepaymentsOfOtherDebt,3
AssetImpairmentCharges,3
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,3
ProceedsFromPaymentsToMinorityShareholders,2
ProceedsFromLongTermLinesOfCredit,2
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2
PaymentsToAcquireHeldToMaturitySecurities,2
PaymentsToAcquireEquityMethodInvestments,2
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,2
AmortizationOfDeferredSalesCommissions,2
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,2
ProceedsFromRepaymentsOfLongTermDebtAndCapitalSecurities,2
UnrealizedGainLossOnDerivatives,2
RepaymentsOfUnsecuredDebt,2
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,2
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,2
ProceedsFromIssuanceOfSecuredDebt,2
ProceedsFromOtherDebt,2
IncreaseDecreaseInClientFundsHeld,2
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,2
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,2
IncreaseDecreaseInOperatingCapital,2
ProvisionForLoanAndLeaseLosses,2
ProceedsFromDivestitureOfBusinesses,2
ProceedsFromRepaymentsOfBankOverdrafts,2
PaymentsForProceedsFromLoansReceivable,2
IncreaseDecreaseInOtherNoncurrentLiabilities,2
AccretionExpense,2
IncreaseDecreaseInDeferredCharges,2
RestructuringReservePeriodIncreaseDecrease,2
IncreaseDecreaseInOtherReceivables,2
PaymentsForProceedsFromShortTermInvestments,2
AmortizationOfDebtDiscountPremium,2
RepaymentsOfLongTermLinesOfCredit,2
RepaymentsOfLongTermCapitalLeaseObligations,2
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,2
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,2
PensionAndOtherPostretirementBenefitExpense,2
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,1
PaymentsToAcquireAndDevelopRealEstate,1
RepaymentsOfTermAndBridgeLoans,1
NetChangeInFundsReceivable,1
ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,1
PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1
AdditionsToUnearnedRevenue,1
IncreaseDecreaseInDeferredLiabilities,1
PaymentsForCapitalImprovements,1
ProceedsFromAvailableForSaleFixedMaturitiesMaturedOrCalled,1
AmortizationInventoryStepUp,1
IncreaseDecreaseInOtherDeposits,1
RepaymentsOfDeposits,1
ProceedsFromFederalHomeLoanBankAdvances,1
ReceiptsFromCentersForMedicareAndMedicaidServiceDeposits,1
ProceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,1
PaymentsForLeaseCommissionsAndTenantAndCapitalImprovements,1
PaymentsToAcquireShortTermInvestments,1
IssuanceOfCommonStockIncludingStockOptionExercises,1
AccretedInterestOnZeroCouponSubordinatedNotes,1
IncreaseDecreaseInFiduciaryLiabilities,1
FairValueOfAssetsAcquired,1
StraightLineRent,1
PaymentOfFinancingAndStockIssuanceCosts,1
ChangeInProductAndOtherInsuranceReceivablesAndClaims,1
NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,1
PropertyPlantAndEquipmentAdditions,1
PaymentsOfDistributionsToAffiliates,1
SettlementsReceivedFromPaidOnDerivativesNotDesignatedAsHedges,1
PaymentsToExploreAndDevelopOilAndGasProperties,1
RestructuringChargesOperatingIncomeImpact,1
DepreciationDepletionAndAmortizationIncludingNuclearFuel,1
ChangeInRedemptionSettlementAssets,1
DerivativesGainLoss,1
ProceedsFromPaymentsForInSecuritiesSoldUnderAgreementsToRepurchase,1
ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,1
PaymentsOfLoanCosts,1
DisposalGroupIncludingDiscontinuedOperationGainLossFromDisposal,1
IncreaseDecreaseInDeferredCompensation,1
ProceedsFromIssuanceOfPrivatePlacement,1
IncreaseDecreaseInMarginDepositsOutstanding,1
GainLossOnDispositionOfIntangibleAssets,1
PropertyPlantAndEquipmentDisposals,1
ProceedsFromIssuanceOfSeniorLongTermDebt,1
PaymentsForProceedsFromInvestments,1
PaymentsForLeasingCostsCommissionsAndTenantImprovements,1
OtherOperatingIncomeExpenseNet,1
PaymentsOnDebtByConsolidatedVariableInterestEntities,1
TaxBenefitFromStockOptionsExercised,1
InvestmentInEquityAffiliates,1
ImpairmentOfInvestments,1
ProceedsFromSaleAndCollectionOfReceivables,1
AssetRetirementObligationAccretionExpense,1
PurchaseOfPropertiesUnderConstructionAndLeaseAgreement,1
ProvisionForLoanLeaseAndOtherLosses,1
GainLossOnSaleOfDerivatives,1
PaymentsForSoftware,1
OtherPaymentsToAcquireBusinesses,1
ProceedsFromRepaymentsOfBankLinesOfCredit,1
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSalePerpetualSecurities,1
NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed1,1
PaymentsToAcquireReceivables,1
ImpairmentOfOilAndGasProperties,1
AccruedLiabilitiesAndOtherLongTermLiabilities,1
PaymentOfContingentConsideration,1
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,1
PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,1
IncreaseDecreaseInAccruedsAndOtherNoncurrentLiabilities,1
ProceedsFromIssuanceOfSeniorNotesNetOfIssuanceCosts,1
ProvisionForLoanLoss,1
RepaymentOfNotesReceivableFromRelatedParties,1
GainsLossesOfConsolidatedVariableInterestEntitiesNet,1
ProceedsFromSaleAndCollectionOfLoansHeldforsale,1
ProceedsFromIssuancePublicOffering,1
PaymentsForProceedsFromProductiveAssets,1
ChangeInDeferredRevenue,1
IncreaseDecreaseInRestructuringReserve,1
PaymentsToAcquireAvailableForSaleSecuritiesEquity,1
IncreaseDecreaseInHealthCareInsuranceLiabilities,1
NetCashProvidedByUsedInContinuingOperations,1
IncreaseDecreaseInDeferredFuelCosts,1
ProceedsFromIssuanceOfUnsecuredDebt,1
PaymentsForRepurchaseOfWarrants,1
PaymentsOfCapitalDistribution,1
ScheduledPrincipalRepayments,1
GoodwillImpairmentLoss,1
ReimbursementOfGuaranteePayments,1
ReserveForRateRefunds,1
ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,1
PaymentsToAcquireInterestInJointVenture,1
IncreaseDecreaseInRestrictedCashForOperatingActivities,1
PaymentsForRepurchaseOfMembershipInterests,1
AmortizationOfDiscountOnNotesReceivables,1
RepositioningAndOtherInvestments,1
DistributionsInExcessOfEarningsFromUnconsolidatedJointVentures,1
DividendsPaid,1
PaymentsRelatedToStockOptionPurchase,1
ProceedsFromShortAndLongTermBorrowings,1
RepaymentsOfShortTermAndLongTermBorrowings,1
PaymentsOnVendorFinancedEquipment,1
IncreaseDecreaseInIncomeTaxesNet,1
PurchaseOfNoncontrollingInterest,1
IncreaseDecreaseInCustomerPayables,1
NetProceedsFromIssuanceOfStockToEmployees,1
IncreaseDecreaseInFiduciaryReceivables,1
PaymentsOfStockIssuanceCosts,1
IncomeLossFromContinuingOperations,1
PrepaidExpensesAndOtherCurrentAsset,1
AllocatedShareBasedCompensationExpense,1
ProceedsFromInsuranceSettlementInvestingActivities,1
PaymentsToAcquireProjects,1
DeferredTaxesAcquisitionCostsAndOther,1
ProceedsFromSaleAndMaturityOfOtherInvestments,1
NetChangeAnnuitiesAndInvestmentCertificates,1
RepaymentsOfAssumedDebt,1
IssuancesOfDeposits,1
IncreaseDecreaseInOtherEmployeeRelatedLiabilities,1
ProceedsFromTermAndBridgeLoans,1
ProceedsFromSaleOfShortTermInvestments,1
PaymentsForProceedsFromOtherAssets,1
CashFlowDepreciationExpense,1
IncreaseDecreaseInFurnitureFixturesAndEquipmentReserves,1
ProceedsFromContributionsFromAffiliates,1
CustomerFinancingValuation,1
IncreaseDecreaseInPayablesToBrokerDealers,1
IncreaseDecreaseInOtherDeferredLiability,1
RecognitionOfDeferredRevenue,1
AmortizationOfPreviouslyUnearnedRevenue,1
AccretionAmortizationOfDiscountsAndPremiumsInvestments,1
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,1
NetGainsOnPropertyTransactions,1
IndefiniteLivedIntangibleAssetsImpairmentLosses,1
DefinedBenefitPlanActuarialGainLoss,1
IncreaseDecreaseInDueFromManagers,1
DeferredIncomeTaxesAndAmortizationOfInvestmentTaxCredits,1
IncreaseDecreaseInInsuranceLiabilities,1
IncreaseDecreaseInIncomeTaxesReceivable,1
IncreaseDecreaseInAccruedLiabilitiesAndIncomeTaxesPayable,1
ProceedsFromSaleOfRealEstateHeldforinvestment,1
RestructuringCosts,1
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturityFixedMaturitiesSecurities,1
IncreaseDecreaseInRetailRelatedInventories,1
IncreaseDecreaseInDueFromUnconsolidatedJointBusiness,1
PaymentsForProceedsFromMarketableSecurities,1
IncreaseDecreaseInPrepaidExpensesAndOther,1
RevenueGeneratingCapitalExpenditures,1
IncreaseDecreaseInRevenuePayable,1
ProceedsFromSecuritizationsOfCreditCards,1
ProceedsFromIssuanceOrSaleOfEquity,1
DeferredTaxesAndOther,1
PaymentsForConstructionInProcess,1
ProvisionForLoanLossesExpensed,1
PaymentsToFundLongtermLoansToRelatedParties,1
DeferredPaymentsOnAcquisitions,1
PaymentsToAcquireCommercialRealEstate,1
RepaymentsOfDebtMaturingInMoreThanThreeMonths,1
NetChangeInFundsPayable,1
CompanysShareOfGainOnSalesOfRealEstate,1
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,1
IncreaseDecreaseInPropertyAndOtherTaxesPayable,1
IncreaseDecreaseInDeferredRentReceivables,1
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,1
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,1
IncreaseDecreaseInAccountsAndOtherReceivables,1
UnrealizedGainLossOnSecurities,1
TaxPaymentsRelatedToIssuanceOfRestrictedStockUnits,1
GainLossOnInvestments,1
IncreaseDecreaseInSecuritiesLendingCollateral,1
PaymentsToAcquireRealEstate,1
GainsLossesOnExtinguishmentOfDebtExcludingPenalty,1
NetIncomeLossAvailableToCommonStockholdersBasic,1
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,1
NonRevenueGeneratingCapitalExpenditures,1
PaymentsToDevelopSoftware,1
StockBasedCompensationExpense,1
PurchaseOfSoftwareAndOtherDeferredCharges,1
PaymentForTaxWithholdingRelatedToVestedAndReleasedRestrictedStockUnits,1
SaleOfPropertyAndNonCoreProductLines,1
ProceedsFromSaleOfMarketableSecuritiesAndInvestments,1
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,1
AllowanceForFundsUsedDuringConstructionInvestingActivities,1
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,1
IncreaseDecreaseTravelersChequesOutstanding,1
PrincipalPaymentsOnDebt,1
PrepaymentLongtermLandLease,1
RepaymentsOfOtherLongTermDebt,1
ProceedsFromSaleOfAvailableForSalePerpetualSecurities,1
AmortizationOfAboveAndBelowMarketLeaseIntangiblesNet,1
WithdrawalsFromCentersForMedicareAndMedicaidServiceDeposits,1
DepreciationDiscontinuedOperations,1
ChangeInSecuritiesLendingPayable,1
IncreaseDecreaseInClientFundsHeldInvestingActivities,1
ProceedsFromExerciseOfStockOptionsAndExcessTaxBenefits,1
DepositsAndOtherAssetsOperating,1
RepaymentsOfSeniorDebt,1
IncreaseDecreaseInInventoriesAndPropertySubjectToOrAvailableForOperatingLease,1
AssetImpairmentChargesCashFlowImpact,1
ProceedsFromIssuanceOfSeniorSecuredTermLoansNetOfIssuanceCosts,1
IncreaseDecreaseInBookOverdrafts,1
ProceedsFromSaleOfWhollyOwnedRealEstateAndRealEstateAcquiredInSettlementOfLoans,1
DecreaseInAccruedExpensesAndOther,1
PaymentsOnZeroCouponSubordinatedNotes,1
LandActivityAndBuildingImprovements,1
GainLossOnDispositionOfProperty,1
DepreciationAndAmortizationOfRealEstateInPlaceLeaseAndOtherIntangiblesDiscontinuedOperations,1
PublicUtilitiesAllowanceForFundsUsedDuringConstructionAdditions,1
ProceedsFromSaleOfOtherProductiveAssets,1
AdditionsToStreamingContentLibrary,1
PaymentsForProceedsFromRemovalCosts,1
IncreaseDecreaseinCustomerAdvancesAndBillingsInExcessOfCost,1
RepaymentsOfConvertibleDebt,1
IncreaseDecreaseInIncomeTaxes,1
ProceedsAndExcessTaxBenefitFromSharebasedCompensation,1
IncreaseDecreaseInPensionPlanObligations,1
IncreaseDecreaseInFinanceReceivables,1
IncreaseDecreaseInCustomerDeposits,1
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,1
DeferredIncomeTaxesAndTaxUncertaintiesOperatingActivities,1
ExplorationAbandonmentsExpenseIncludingDryHoles,1
IncreaseDecreaseInOperatingLiabilities,1
IncreaseDecreaseInTravelersChequesOutstanding,1
AvailableForSaleSecuritiesGrossRealizedGainLossNet,1
GainLossOnForeignCurrencyAndDerivativeContracts,1
PaymentsForAcquisitionsOfContentLibrary,1
IncreaseDecreaseInCustomerFinancing,1
PaymentsOfDepartmentOfJusticeAndSecuritiesAndExchangeCommissionSettlementAndIndemnity,1
ImpairmentOfIntangibleAssetsFinitelived,1
IncreaseDecreaseInRetirementObligationsAndOtherLiabilities,1
RestructuringCharges,1
IncreaseDecreaseInMarginReceivables,1
ChangeInStreamingContentLiabilities,1
ProvisionForTransactionAndLoanLosses,1
AmortizationOfContentLibrary,1
SalePurchasesOfMarketableSecuritiesAndInvestments,1
PaymentsOfContingentConsideration,1
RedevelopmentExpenditures,1
PaymentsForProceedsFromLoansAndLeases,1
IncreaseDecreaseInAccruedTaxesAndOtherCurrent,1
IncreaseDecreaseInRestrictedCashAndCashEquivalents,1
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1
PaymentsToAcquireOtherInvestments,1
PaymentsUnderPatentLicensingArrangement,1
IncreaseDecreaseInTradingSecurities,1
IncreaseDecreaseInOtherCurrentLiabilities,1
PaymentsToDevelopRealEstateAssets,1
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,1
ProceedsFromRepaymentsOfDebtMaturingInMoreThanThreeMonths,1
PaymentsToAcquireOtherRealEstate,1
AssetImpairmentGainOnSaleOfProductLineAndNetLossOnSaleDisposalOfAssets,1
ProceedsFromPrincipalRepaymentsOnLoansAndLeasesHeldForInvestment,1
RepaymentsOfCertificatesOfDeposit,1
ProceedsFromSaleOfRealEstate,1
PaymentsForFederalHomeLoanBankAdvances,1
ProceedsFromRepaymentsOfCommercialPaper,1
PaymentsToAcquireBusinessesAndInterestInAffiliates,1
EmployeeTaxesShareBasedCompensationArrangements,1
InterestPaidCapitalized,1
IncreaseDecreaseInDebtExchange,1
EnvironmentalExpenseAndLiabilities,1
ProceedsFromMinorityShareholders,1
InvestmentsInLoansReceivableAndDirectFinancingLeases,1
NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,1
ProceedsFromConvertibleDebt,1
PaymentsToAcquireOtherPropertyPlantAndEquipment,1
IncreaseDecreaseInInterestPayableNet,1
ProceedsFromSaleOfIntangibleAssets,1
RestructuringNetOfCash,1
StockOptionPlanExpense,1
ProceedsFromRepurchaseOfEquity,1
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,1
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,1
ChangeInCashCollateralRestricted,1
ProceedsFromIssuanceOfWarrants,1
GoodwillAndIntangibleAssetImpairment,1
